match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,0.1,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,RS Gayakwad,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,0.2,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,RS Gayakwad,2,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,0.3,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,RS Gayakwad,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,0.4,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,RS Gayakwad,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,0.5,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,RS Gayakwad,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,0.6,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,RS Gayakwad,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,1.1,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,GM Harris,2,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,1.2,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,GM Harris,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,1.3,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,GM Harris,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,1.4,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,GM Harris,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,1.5,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,GM Harris,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,1.6,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,GM Harris,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,2.1,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,K Anjali Sarvani,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,2.2,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,K Anjali Sarvani,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,2.3,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,K Anjali Sarvani,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,2.4,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,K Anjali Sarvani,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,2.5,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,K Anjali Sarvani,0,1,1,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,2.6,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,K Anjali Sarvani,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,2.7,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,K Anjali Sarvani,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,3.1,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,GM Harris,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,3.2,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,GM Harris,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,3.3,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,GM Harris,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,3.4,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,GM Harris,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,3.5,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,GM Harris,6,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,3.6,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,GM Harris,6,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,4.1,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,K Anjali Sarvani,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,4.2,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,K Anjali Sarvani,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,4.3,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,K Anjali Sarvani,4,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,4.4,Mumbai Indians,UP Warriorz,HK Matthews,YH Bhatia,K Anjali Sarvani,0,1,,,1,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,4.5,Mumbai Indians,UP Warriorz,YH Bhatia,HK Matthews,K Anjali Sarvani,0,0,,,,,,bowled,YH Bhatia,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,4.6,Mumbai Indians,UP Warriorz,NR Sciver-Brunt,HK Matthews,K Anjali Sarvani,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,5.1,Mumbai Indians,UP Warriorz,HK Matthews,NR Sciver-Brunt,RS Gayakwad,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,5.2,Mumbai Indians,UP Warriorz,HK Matthews,NR Sciver-Brunt,RS Gayakwad,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,5.3,Mumbai Indians,UP Warriorz,HK Matthews,NR Sciver-Brunt,RS Gayakwad,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,5.4,Mumbai Indians,UP Warriorz,NR Sciver-Brunt,HK Matthews,RS Gayakwad,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,5.5,Mumbai Indians,UP Warriorz,NR Sciver-Brunt,HK Matthews,RS Gayakwad,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,5.6,Mumbai Indians,UP Warriorz,NR Sciver-Brunt,HK Matthews,RS Gayakwad,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,6.1,Mumbai Indians,UP Warriorz,HK Matthews,NR Sciver-Brunt,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,6.2,Mumbai Indians,UP Warriorz,NR Sciver-Brunt,HK Matthews,PG Chopra,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,6.3,Mumbai Indians,UP Warriorz,NR Sciver-Brunt,HK Matthews,PG Chopra,4,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,6.4,Mumbai Indians,UP Warriorz,NR Sciver-Brunt,HK Matthews,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,6.5,Mumbai Indians,UP Warriorz,HK Matthews,NR Sciver-Brunt,PG Chopra,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,6.6,Mumbai Indians,UP Warriorz,HK Matthews,NR Sciver-Brunt,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,7.1,Mumbai Indians,UP Warriorz,HK Matthews,NR Sciver-Brunt,S Ecclestone,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,7.2,Mumbai Indians,UP Warriorz,HK Matthews,NR Sciver-Brunt,S Ecclestone,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,7.3,Mumbai Indians,UP Warriorz,NR Sciver-Brunt,HK Matthews,S Ecclestone,0,0,,,,,,lbw,NR Sciver-Brunt,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,7.4,Mumbai Indians,UP Warriorz,H Kaur,HK Matthews,S Ecclestone,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,7.5,Mumbai Indians,UP Warriorz,H Kaur,HK Matthews,S Ecclestone,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,7.6,Mumbai Indians,UP Warriorz,H Kaur,HK Matthews,S Ecclestone,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,8.1,Mumbai Indians,UP Warriorz,H Kaur,HK Matthews,PG Chopra,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,8.2,Mumbai Indians,UP Warriorz,H Kaur,HK Matthews,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,8.3,Mumbai Indians,UP Warriorz,HK Matthews,H Kaur,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,8.4,Mumbai Indians,UP Warriorz,H Kaur,HK Matthews,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,8.5,Mumbai Indians,UP Warriorz,HK Matthews,H Kaur,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,8.6,Mumbai Indians,UP Warriorz,H Kaur,HK Matthews,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,9.1,Mumbai Indians,UP Warriorz,H Kaur,HK Matthews,DB Sharma,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,9.2,Mumbai Indians,UP Warriorz,HK Matthews,H Kaur,DB Sharma,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,9.3,Mumbai Indians,UP Warriorz,H Kaur,HK Matthews,DB Sharma,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,9.4,Mumbai Indians,UP Warriorz,HK Matthews,H Kaur,DB Sharma,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,9.5,Mumbai Indians,UP Warriorz,H Kaur,HK Matthews,DB Sharma,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,9.6,Mumbai Indians,UP Warriorz,HK Matthews,H Kaur,DB Sharma,6,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,10.1,Mumbai Indians,UP Warriorz,H Kaur,HK Matthews,S Ecclestone,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,10.2,Mumbai Indians,UP Warriorz,HK Matthews,H Kaur,S Ecclestone,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,10.3,Mumbai Indians,UP Warriorz,HK Matthews,H Kaur,S Ecclestone,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,10.4,Mumbai Indians,UP Warriorz,HK Matthews,H Kaur,S Ecclestone,0,0,,,,,,caught,HK Matthews,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,10.5,Mumbai Indians,UP Warriorz,AC Kerr,H Kaur,S Ecclestone,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,10.6,Mumbai Indians,UP Warriorz,H Kaur,AC Kerr,S Ecclestone,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,11.1,Mumbai Indians,UP Warriorz,H Kaur,AC Kerr,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,11.2,Mumbai Indians,UP Warriorz,AC Kerr,H Kaur,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,11.3,Mumbai Indians,UP Warriorz,H Kaur,AC Kerr,PG Chopra,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,11.4,Mumbai Indians,UP Warriorz,H Kaur,AC Kerr,PG Chopra,2,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,11.5,Mumbai Indians,UP Warriorz,H Kaur,AC Kerr,PG Chopra,4,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,11.6,Mumbai Indians,UP Warriorz,H Kaur,AC Kerr,PG Chopra,4,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,12.1,Mumbai Indians,UP Warriorz,AC Kerr,H Kaur,RS Gayakwad,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,12.2,Mumbai Indians,UP Warriorz,H Kaur,AC Kerr,RS Gayakwad,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,12.3,Mumbai Indians,UP Warriorz,H Kaur,AC Kerr,RS Gayakwad,4,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,12.4,Mumbai Indians,UP Warriorz,H Kaur,AC Kerr,RS Gayakwad,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,12.5,Mumbai Indians,UP Warriorz,AC Kerr,H Kaur,RS Gayakwad,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,12.6,Mumbai Indians,UP Warriorz,AC Kerr,H Kaur,RS Gayakwad,0,0,,,,,,caught,AC Kerr,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,13.1,Mumbai Indians,UP Warriorz,H Kaur,IECM Wong,DB Sharma,0,1,1,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,13.2,Mumbai Indians,UP Warriorz,H Kaur,IECM Wong,DB Sharma,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,13.3,Mumbai Indians,UP Warriorz,H Kaur,IECM Wong,DB Sharma,0,0,,,,,,caught,H Kaur,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,13.4,Mumbai Indians,UP Warriorz,AB Kaur,IECM Wong,DB Sharma,0,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,13.5,Mumbai Indians,UP Warriorz,AB Kaur,IECM Wong,DB Sharma,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,13.6,Mumbai Indians,UP Warriorz,IECM Wong,AB Kaur,DB Sharma,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,13.7,Mumbai Indians,UP Warriorz,AB Kaur,IECM Wong,DB Sharma,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,14.1,Mumbai Indians,UP Warriorz,AB Kaur,IECM Wong,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,14.2,Mumbai Indians,UP Warriorz,IECM Wong,AB Kaur,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,14.3,Mumbai Indians,UP Warriorz,AB Kaur,IECM Wong,PG Chopra,1,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,14.4,Mumbai Indians,UP Warriorz,IECM Wong,AB Kaur,PG Chopra,4,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,14.5,Mumbai Indians,UP Warriorz,IECM Wong,AB Kaur,PG Chopra,4,0,,,,,,,,,
1358943,2022/23,2023-03-18,"Dr DY Patil Sports Academy, Mumbai",1,14.6,Mumbai Indians,UP Warriorz,IECM Wong,AB Kaur,PG Chopra,0,0,,,,,,,,,
